player_name,matches,innings,not_outs,runs,balls_faced,average,strike_rate,hundreds,fifties,fours,sixes
A Balbirnie,13,13,0,245,228,18.85,107.46,0,1,18,11
A Bohara,2,2,0,0,2,0.0,0.0,0,0,0,0
A Dutt,2,2,1,25,20,25.0,125.0,0,0,2,1
A Johnson,3,3,0,89,73,29.67,121.92,0,1,12,4
A Nao,2,2,-1,8,13,2.67,61.54,0,0,0,0
A Nehra,1,1,0,0,4,0.0,0.0,0,0,0,0
A Nortje,4,4,2,8,10,4.0,80.0,0,0,1,0
A Sharafu,1,1,0,4,4,4.0,100.0,0,0,0,0
A Vala,6,6,0,107,103,17.83,103.88,0,1,11,4
A Zampa,3,3,1,3,7,1.5,42.86,0,0,0,0
AB de Villiers,3,3,1,46,32,23.0,143.75,0,0,1,4
AC Agar,2,2,0,29,28,14.5,103.57,0,0,0,3
AC Evans,2,2,0,0,2,0.0,0.0,0,0,0,0
AD Hales,10,10,1,259,183,28.78,141.53,0,2,28,10
AD Mathews,5,5,2,155,136,51.67,113.97,0,1,5,9
AD Poynter,2,2,1,11,11,11.0,100.0,0,0,0,1
AD Russell,14,14,5,184,116,20.44,158.62,0,0,18,11
ADS Fletcher,2,2,1,95,75,95.0,126.67,0,1,6,6
AF Milne,1,1,1,2,2,,100.0,0,0,0,0
AGS Gous,6,6,1,219,145,43.8,151.03,0,2,20,11
AJ Finch,12,12,1,300,263,27.27,114.07,0,1,23,13
AJ Hosein,6,6,3,52,61,17.33,85.25,0,0,3,1
AK Markram,17,17,2,361,291,24.07,124.05,0,3,32,12
AK Sah,3,3,0,38,38,12.67,100.0,0,0,5,1
AM Phangiso,1,1,0,4,5,4.0,80.0,0,0,0,0
AM Rahane,1,1,0,40,35,40.0,114.29,0,0,2,0
AR McBrine,2,2,2,11,4,,275.0,0,0,2,0
AR Patel,7,7,2,89,69,17.8,128.99,0,0,4,6
AR Ramjani,3,3,0,13,22,4.33,59.09,0,0,2,0
AS Joseph,3,3,1,17,14,8.5,121.43,0,0,1,1
AT Nidamanuru,1,1,0,0,1,0.0,0.0,0,0,0,0
AU Rashid,3,3,2,8,8,8.0,100.0,0,0,0,0
AV Lalcheta,2,2,1,7,8,7.0,87.5,0,0,1,0
Aamir Kaleem,2,2,0,0,5,0.0,0.0,0,0,0,0
Aaron Jones,6,7,2,173,126,34.6,137.3,0,1,9,14
Aasif Sheikh,3,3,0,63,71,21.0,88.73,0,0,9,1
Aayan Afzal Khan,2,2,0,24,28,12.0,85.71,0,0,1,0
Abbas Afridi,1,1,0,17,21,17.0,80.95,0,0,1,1
Adnan Ilyas,2,2,0,17,20,8.5,85.0,0,0,2,0
Afif Hossain,13,13,2,149,126,13.55,118.25,0,0,13,3
Ahmed Shehzad,4,4,0,108,105,27.0,102.86,0,1,14,0
Aizaz Khan,1,1,1,7,4,,175.0,0,0,1,0
Al-Amin Hossain,1,1,0,0,2,0.0,0.0,0,0,0,0
Ali Khan,2,2,1,14,8,14.0,175.0,0,0,1,1
Amir Ali,2,2,0,36,20,18.0,180.0,0,0,6,1
Anshuman Rath,1,1,0,21,23,21.0,91.3,0,0,0,0
Aqib Ilyas,7,8,2,142,121,23.67,117.36,0,1,14,6
Arafat Sunny,1,1,1,8,4,,200.0,0,0,0,1
Arshdeep Singh,3,3,2,12,15,12.0,80.0,0,0,1,0
Aryan Lakra,1,1,0,1,3,1.0,33.33,0,0,0,0
Asif Ali,4,4,2,34,20,17.0,170.0,0,0,1,3
Ayan Khan,5,5,1,102,108,25.5,94.44,0,0,6,3
Azam Khan,1,1,0,0,1,0.0,0.0,0,0,0,0
B Evans,2,2,0,21,17,10.5,123.53,0,0,0,1
B Kumar,2,2,2,9,10,,90.0,0,0,0,0
B Masaba,3,3,2,4,25,4.0,16.0,0,0,0,0
B Muzarabani,4,4,3,2,12,2.0,16.67,0,0,0,0
B Shikongo,1,1,0,0,4,0.0,0.0,0,0,0,0
B White,2,2,2,7,24,,29.17,0,0,0,0
BA King,6,6,1,158,125,31.6,126.4,0,1,21,3
BA Stokes,8,8,3,157,125,31.4,125.6,0,1,11,4
BD Glover,2,2,0,0,3,0.0,0.0,0,0,0,0
BFW de Leede,14,14,3,120,164,10.91,73.17,0,0,9,1
BJ McCarthy,8,8,4,40,49,10.0,81.63,0,0,1,2
BJ McMullen,3,3,1,140,82,70.0,170.73,0,2,13,8
BKG Mendis,10,10,1,273,196,30.33,139.29,0,2,23,9
BM Scholtz,4,4,2,7,9,3.5,77.78,0,0,0,0
BN Cooper,3,3,0,29,24,9.67,120.83,0,0,5,0
BTJ Wheal,2,2,2,3,5,,60.0,0,0,0,0
Babar Azam,16,16,2,498,446,35.57,111.66,0,4,45,8
Babar Hayat,1,1,0,15,10,15.0,150.0,0,0,3,0
Basil Hameed,3,3,1,31,24,15.5,129.17,0,0,3,2
Bilal Khan,6,6,5,4,7,4.0,57.14,0,0,0,0
C Campher,12,12,2,184,146,18.4,126.03,0,1,17,3
C Karunaratne,11,11,4,51,57,7.29,89.47,0,0,4,0
C Kyewuta,2,2,0,2,12,1.0,16.67,0,0,0,0
C Munro,5,5,0,118,103,23.6,114.56,0,0,11,4
CA Soper,5,5,0,42,49,8.4,85.71,0,0,2,2
CA Young,2,2,1,2,7,2.0,28.57,0,0,0,0
CAK Rajitha,1,1,1,8,21,,38.1,0,0,0,0
CBRLS Kumara,3,3,1,5,8,2.5,62.5,0,0,1,0
CD Wallace,1,1,0,4,13,4.0,30.77,0,0,0,0
CG Williams,7,7,0,118,137,16.86,86.13,0,0,9,4
CH Gayle,9,9,1,158,107,19.75,147.66,1,1,11,14
CH Morris,1,1,1,16,17,,94.12,0,0,2,0
CJ Anderson,10,10,1,152,160,16.89,95.0,0,0,9,4
CJ Jordan,5,5,2,19,25,6.33,76.0,0,0,2,0
CJA Amini,6,6,0,73,84,12.17,86.9,0,0,6,1
CK Kapugedera,3,3,0,40,44,13.33,90.91,0,0,3,1
CN Ackermann,11,11,1,222,206,22.2,107.77,0,1,16,6
CN Greaves,10,10,5,117,123,23.4,95.12,0,0,8,2
CP Rizwan,3,3,1,45,34,22.5,132.35,0,0,3,1
CR Brathwaite,2,2,2,44,20,,220.0,0,0,1,5
CR Ervine,7,7,0,112,125,16.0,89.6,0,1,13,0
CR Woakes,2,2,1,12,6,12.0,200.0,0,0,1,1
CS MacLeod,8,8,0,91,113,11.38,80.53,0,0,6,0
Chirag Suri,2,2,0,26,39,13.0,66.67,0,0,4,0
D Heyliger,3,3,2,10,14,10.0,71.43,0,0,1,0
D Pretorius,2,2,0,1,3,0.5,33.33,0,0,0,0
D Ramdin,3,3,1,18,28,9.0,64.29,0,0,1,0
D Ravu,2,2,0,6,9,3.0,66.67,0,0,1,0
D Wiese,15,16,6,359,260,35.9,138.08,0,2,20,19
D la Cock,2,2,0,9,11,4.5,81.82,0,0,1,0
DA Miller,16,16,7,320,281,35.56,113.88,0,2,18,15
DA Warner,20,20,2,521,375,28.94,138.93,0,5,53,20
DE Budge,1,1,0,0,2,0.0,0.0,0,0,0,0
DJ Bravo,8,8,1,61,65,8.71,93.85,0,0,4,2
DJ Hooda,1,1,0,0,3,0.0,0.0,0,0,0,0
DJ Malan,7,7,2,154,135,30.8,114.07,0,0,14,2
DJ Mitchell,12,12,4,331,246,41.38,134.55,0,2,21,11
DJ Willey,1,1,-1,21,14,10.5,150.0,0,0,1,2
DJG Sammy,2,2,0,2,3,1.0,66.67,0,0,0,0
DM Nakrani,3,3,0,4,18,1.33,22.22,0,0,0,0
DM de Silva,9,9,0,166,147,18.44,112.93,0,0,13,3
DP Conway,13,13,3,300,266,30.0,112.78,0,1,27,6
DS Airee,3,3,0,32,48,10.67,66.67,0,0,2,1
DS Bajwa,2,2,0,18,14,9.0,128.57,0,0,2,1
E Chigumbura,1,1,0,20,17,20.0,117.65,0,0,1,1
E Lewis,8,8,0,147,130,18.38,113.08,0,1,13,8
EJG Morgan,9,9,3,134,115,22.33,116.52,0,0,8,6
F Achelam,1,1,0,9,13,9.0,69.23,0,0,1,0
F Hand,3,3,0,12,11,4.0,109.09,0,0,2,0
F Nsubuga,1,1,0,0,3,0.0,0.0,0,0,0,0
F du Plessis,3,3,0,57,60,19.0,95.0,0,0,4,1
FH Allen,8,8,0,130,93,16.25,139.78,0,0,15,6
FJ Klaassen,5,5,2,11,17,3.67,64.71,0,0,0,0
Fakhar Zaman,9,9,1,132,113,16.5,116.81,0,1,7,7
Fayyaz Butt,3,3,0,9,15,3.0,60.0,0,0,1,0
G Motie,2,2,2,4,8,,50.0,0,0,1,0
GC Wilson,2,2,0,42,38,21.0,110.53,0,0,6,0
GD Elliott,5,5,2,50,46,16.67,108.7,0,0,4,0
GD Phillips,11,11,1,346,254,34.6,136.22,1,2,25,15
GH Dockrell,10,10,2,144,122,18.0,118.03,0,0,14,2
GJ Delany,11,11,1,184,145,18.4,126.9,0,0,15,8
GJ Maxwell,17,17,2,310,241,20.67,128.63,0,0,25,13
GSNFG Jayasuriya,1,1,0,1,3,1.0,33.33,0,0,0,0
Gulsan Jha,3,3,0,20,25,6.67,80.0,0,0,1,1
H Hiri,4,4,0,32,51,8.0,62.75,0,0,4,0
H Klaasen,11,11,2,239,190,26.56,125.79,0,1,14,14
H Masakadza,1,1,0,12,10,12.0,120.0,0,0,3,0
HC Brook,8,8,2,194,144,32.33,134.72,0,1,18,3
HDRL Thirimanne,3,3,0,8,13,2.67,61.54,0,0,1,0
HE van der Dussen,5,5,2,177,152,59.0,116.45,0,1,10,6
HG Munsey,16,16,2,399,333,28.5,119.82,0,2,46,14
HH Pandya,14,14,3,290,214,26.36,135.51,0,2,20,15
HM Amla,3,3,1,115,84,57.5,136.9,0,2,12,4
HM Nicholls,1,1,0,7,11,7.0,63.64,0,0,1,0
HMRKB Herath,3,3,0,6,10,2.0,60.0,0,0,0,0
HN Ya France,2,2,1,1,4,1.0,25.0,0,0,0,0
HR Walsh,1,1,0,0,1,0.0,0.0,0,0,0,0
HT Tector,11,11,0,90,114,8.18,78.95,0,0,5,1
Haider Ali,2,2,0,2,5,1.0,40.0,0,0,0,0
Haris Rauf,4,4,3,13,10,13.0,130.0,0,0,0,1
Harmeet Singh,5,5,1,69,50,17.25,138.0,0,0,4,5
Hasan Mahmud,2,2,1,0,5,0.0,0.0,0,0,0,0
IS Sodhi,3,3,2,9,9,9.0,100.0,0,0,0,0
Iftikhar Ahmed,8,9,1,141,119,17.62,118.49,0,2,11,6
Imad Wasim,4,4,0,30,42,7.5,71.43,0,0,3,0
Ishan Kishan,1,1,0,4,8,4.0,50.0,0,0,1,0
J Charles,12,12,0,261,243,21.75,107.41,0,1,26,9
J Kariko,1,1,1,0,2,,0.0,0,0,0,0
J Little,7,7,3,53,55,13.25,96.36,0,0,5,2
J Miyaji,3,3,1,26,37,13.0,70.27,0,0,0,0
JC Archer,2,2,1,22,17,22.0,129.41,0,0,1,2
JC Buttler,23,23,8,875,561,58.33,155.97,1,6,78,42
JDF Vandersay,2,2,1,3,8,3.0,37.5,0,0,0,0
JDS Neesham,11,11,5,149,97,24.83,153.61,0,0,5,9
JE Root,5,5,1,237,162,59.25,146.3,0,2,23,6
JH Davey,5,5,2,41,27,13.67,151.85,0,0,1,3
JJ Atkinson,1,1,0,13,19,13.0,68.42,0,0,2,0
JJ Bumrah,2,2,1,0,3,0.0,0.0,0,0,0,0
JJ Roy,10,10,0,301,205,30.1,146.83,0,2,32,12
JJ Smit,13,13,7,139,130,23.17,106.92,0,0,10,5
JM Bairstow,12,12,4,157,124,19.62,126.61,0,0,16,6
JN Frylinck,9,9,1,178,184,22.25,96.74,0,0,14,1
JN Loftie-Eaton,7,7,1,36,40,6.0,90.0,0,0,1,2
JO Holder,5,5,2,66,47,22.0,140.43,0,0,4,4
JP Duminy,1,1,1,54,28,,192.86,0,1,3,3
JP Faulkner,3,3,1,17,17,8.5,100.0,0,0,2,0
JP Kotze,1,1,0,0,3,0.0,0.0,0,0,0,0
JR Hazlewood,1,1,1,1,1,,100.0,0,0,0,0
JT Brassell,1,1,1,2,3,,66.67,0,0,0,0
JW Hastings,1,1,0,3,4,3.0,75.0,0,0,0,0
Jaker Ali,4,4,1,35,46,11.67,76.09,0,0,3,0
Jasdeep Singh,2,2,1,4,13,4.0,30.77,0,0,0,0
Jatinder Singh,5,5,1,162,122,40.5,132.79,0,1,16,5
Junaid Siddique,2,2,1,18,17,18.0,105.88,0,0,1,1
K Bhurtel,3,3,0,24,39,8.0,61.54,0,0,3,1
K Doriga,6,6,2,108,92,27.0,117.39,0,0,7,4
K Rabada,7,7,4,51,47,17.0,108.51,0,0,4,2
K Waiswa,3,3,1,19,44,9.5,43.18,0,0,2,0
KA Maharaj,7,7,4,26,38,8.67,68.42,0,0,1,1
KA Pollard,5,5,1,90,84,22.5,107.14,0,0,6,3
KD Karthik,3,3,0,14,22,4.67,63.64,0,0,1,0
KD Shah,1,1,1,7,5,,140.0,0,0,1,0
KH Prajapati,5,5,0,40,59,8.0,67.8,0,0,2,3
KIC Asalanka,15,15,3,414,303,34.5,136.63,0,2,33,17
KJ Coetzer,8,8,1,97,98,13.86,98.98,0,0,10,3
KJ O'Brien,5,5,0,53,51,10.6,103.92,0,0,6,0
KL Rahul,10,10,1,253,185,28.11,136.76,0,4,21,13
KMDN Kulasekara,1,1,0,7,8,7.0,87.5,0,0,0,0
KP Meiyappan,1,1,0,4,8,4.0,50.0,0,0,0,0
KR Mayers,4,4,0,69,64,17.25,107.81,0,0,8,3
KS Williamson,18,18,2,496,434,31.0,114.29,0,2,44,12
KV Morea,5,5,3,17,19,8.5,89.47,0,0,0,1
Kaleem Sana,1,1,1,13,14,,92.86,0,0,0,1
Kaleemullah,4,4,1,18,17,6.0,105.88,0,0,2,0
Karan KC,1,1,0,17,12,17.0,141.67,0,0,0,2
Kashif Daud,2,2,0,15,18,7.5,83.33,0,0,0,1
Khalid Kail,4,4,0,48,61,12.0,78.69,0,0,2,1
Khalid Latif,2,2,0,49,48,24.5,102.08,0,0,4,1
Khawar Ali,2,2,0,42,40,21.0,105.0,0,0,4,3
Kushal Malla,3,3,0,37,52,12.33,71.15,0,0,2,1
L Ngidi,1,1,1,4,1,,400.0,0,0,1,0
L Ronchi,5,5,2,50,33,16.67,151.52,0,0,3,2
L Siaka,5,5,0,27,45,5.4,60.0,0,0,2,0
L Tucker,10,10,2,226,193,28.25,117.1,0,1,21,4
LD Chandimal,5,5,0,49,59,9.8,83.05,0,0,4,2
LE Plunkett,1,1,0,4,4,4.0,100.0,0,0,0,0
LM Jongwe,4,4,1,55,41,18.33,134.15,0,0,6,1
LMP Simmons,4,4,1,101,94,33.67,107.45,0,1,7,5
LRPL Taylor,5,5,1,91,80,22.75,113.75,0,0,5,3
LS Livingstone,11,11,2,144,101,16.0,142.57,0,0,6,10
LV van Beek,10,10,4,57,65,9.5,87.69,0,0,3,0
Liton Das,19,19,0,345,330,18.16,104.55,0,1,28,8
M Ansari,2,2,2,3,4,,75.0,0,0,0,0
M Jansen,6,6,2,32,33,8.0,96.97,0,0,1,1
