match_id,date,season,city,venue,team1,team2,toss_winner,toss_decision,winner,result_type,result_margin,event_name,event_match_number,event_group,event_stage,player_of_match,overs,balls_per_over,gender,match_type,data_version
951309,2016-03-09,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Bangladesh,Netherlands,Netherlands,field,Bangladesh,runs,8.0,World T20,3.0,A,First Round,Tamim Iqbal,20,6,male,T20,1.0.0
951311,2016-03-09,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Ireland,Oman,Ireland,bat,Oman,wickets,2.0,World T20,4.0,A,First Round,Amir Ali,20,6,male,T20,1.0.0
951313,2016-03-10,2015/16,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Scotland,Zimbabwe,Zimbabwe,bat,Zimbabwe,runs,11.0,World T20,5.0,B,First Round,WP Masakadza,20,6,male,T20,1.0.0
951319,2016-03-11,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Bangladesh,Ireland,Ireland,field,,,,World T20,8.0,A,First Round,,20,6,male,T20,1.0.0
951323,2016-03-12,2015/16,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",Hong Kong,Scotland,Hong Kong,bat,Scotland,wickets,8.0,World T20,10.0,B,First Round,MW Machan,20,6,male,T20,1.0.0
951325,2016-03-13,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Ireland,Netherlands,Ireland,field,Netherlands,runs,12.0,World T20,11.0,A,First Round,PA van Meekeren,20,6,male,T20,1.0.0
951327,2016-03-13,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Bangladesh,Oman,Oman,field,Bangladesh,runs,54.0,World T20,12.0,A,First Round,Tamim Iqbal,20,6,male,T20,1.0.0
951329,2016-03-15,2015/16,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",India,New Zealand,New Zealand,bat,New Zealand,runs,47.0,World T20,13.0,2,Super 10,MJ Santner,20,6,male,T20,1.0.0
951331,2016-03-16,2015/16,Mumbai,Wankhede Stadium,England,West Indies,West Indies,field,West Indies,wickets,6.0,World T20,15.0,1,Super 10,CH Gayle,20,6,male,T20,1.0.0
951333,2016-03-16,2015/16,Kolkata,Eden Gardens,Bangladesh,Pakistan,Pakistan,bat,Pakistan,runs,55.0,World T20,14.0,2,Super 10,Shahid Afridi,20,6,male,T20,1.0.0
951337,2016-03-18,2015/16,Dharamsala,Himachal Pradesh Cricket Association Stadium,Australia,New Zealand,New Zealand,bat,New Zealand,runs,8.0,World T20,17.0,2,Super 10,MJ McClenaghan,20,6,male,T20,1.0.0
951339,2016-03-18,2015/16,Mumbai,Wankhede Stadium,England,South Africa,England,field,England,wickets,2.0,World T20,18.0,1,Super 10,JE Root,20,6,male,T20,1.0.0
951341,2016-03-19,2015/16,Kolkata,Eden Gardens,India,Pakistan,India,field,India,wickets,6.0,World T20,19.0,2,Super 10,V Kohli,20,6,male,T20,1.0.0
951345,2016-03-20,2015/16,Bangalore,M Chinnaswamy Stadium,Sri Lanka,West Indies,West Indies,field,West Indies,wickets,7.0,World T20,21.0,1,Super 10,ADS Fletcher,20,6,male,T20,1.0.0
951347,2016-03-21,2015/16,Bangalore,M Chinnaswamy Stadium,Australia,Bangladesh,Australia,field,Australia,wickets,3.0,World T20,22.0,2,Super 10,A Zampa,20,6,male,T20,1.0.0
951349,2016-03-22,2015/16,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",New Zealand,Pakistan,New Zealand,bat,New Zealand,runs,22.0,World T20,23.0,2,Super 10,MJ Guptill,20,6,male,T20,1.0.0
951353,2016-03-23,2015/16,Bangalore,M Chinnaswamy Stadium,India,Bangladesh,Bangladesh,field,India,runs,1.0,World T20,25.0,2,Super 10,R Ashwin,20,6,male,T20,1.0.0
951355,2016-03-25,2015/16,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",Australia,Pakistan,Australia,bat,Australia,runs,21.0,World T20,26.0,2,Super 10,JP Faulkner,20,6,male,T20,1.0.0
951357,2016-03-25,2015/16,Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",South Africa,West Indies,West Indies,field,West Indies,wickets,3.0,World T20,27.0,1,Super 10,MN Samuels,20,6,male,T20,1.0.0
951359,2016-03-26,2015/16,Kolkata,Eden Gardens,Bangladesh,New Zealand,New Zealand,bat,New Zealand,runs,75.0,World T20,28.0,2,Super 10,KS Williamson,20,6,male,T20,1.0.0
951361,2016-03-26,2015/16,Delhi,Feroz Shah Kotla,England,Sri Lanka,Sri Lanka,field,England,runs,10.0,World T20,29.0,1,Super 10,JC Buttler,20,6,male,T20,1.0.0
951363,2016-03-27,2015/16,Chandigarh,"Punjab Cricket Association IS Bindra Stadium, Mohali",India,Australia,Australia,bat,India,wickets,6.0,World T20,31.0,2,Super 10,V Kohli,20,6,male,T20,1.0.0
951367,2016-03-28,2015/16,Delhi,Feroz Shah Kotla,South Africa,Sri Lanka,South Africa,field,South Africa,wickets,8.0,World T20,32.0,1,Super 10,AM Phangiso,20,6,male,T20,1.0.0
951369,2016-03-30,2015/16,Delhi,Feroz Shah Kotla,England,New Zealand,England,field,England,wickets,7.0,World T20,,,Semi Final,JJ Roy,20,6,male,T20,1.0.0
951371,2016-03-31,2015/16,Mumbai,Wankhede Stadium,India,West Indies,West Indies,field,West Indies,wickets,7.0,World T20,,,Semi Final,LMP Simmons,20,6,male,T20,1.0.0
951373,2016-04-03,2015/16,Kolkata,Eden Gardens,England,West Indies,West Indies,field,West Indies,wickets,4.0,World T20,,,Final,MN Samuels,20,6,male,T20,1.0.0
1273712,2021-10-17,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Oman,Oman,field,Oman,wickets,10.0,ICC Men's T20 World Cup,1.0,B,,Zeeshan Maqsood,20,6,male,T20,1.1.0
1273713,2021-10-17,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Bangladesh,Bangladesh,field,Scotland,runs,6.0,ICC Men's T20 World Cup,2.0,B,,CN Greaves,20,6,male,T20,1.1.0
1273714,2021-10-18,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,Ireland,Netherlands,bat,Ireland,wickets,7.0,ICC Men's T20 World Cup,3.0,A,,C Campher,20,6,male,T20,1.1.0
1273715,2021-10-18,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Namibia,Sri Lanka,Sri Lanka,field,Sri Lanka,wickets,7.0,ICC Men's T20 World Cup,4.0,A,,M Theekshana,20,6,male,T20,1.1.0
1273716,2021-10-19,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Papua New Guinea,Scotland,bat,Scotland,runs,17.0,ICC Men's T20 World Cup,5.0,B,,RD Berrington,20,6,male,T20,1.1.0
1273717,2021-10-19,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Oman,Bangladesh,bat,Bangladesh,runs,26.0,ICC Men's T20 World Cup,6.0,B,,Shakib Al Hasan,20,6,male,T20,1.1.0
1273718,2021-10-20,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Netherlands,Namibia,Namibia,field,Namibia,wickets,6.0,ICC Men's T20 World Cup,7.0,A,,D Wiese,20,6,male,T20,1.1.0
1273719,2021-10-20,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,Ireland,Ireland,field,Sri Lanka,runs,70.0,ICC Men's T20 World Cup,8.0,A,,PWH de Silva,20,6,male,T20,1.1.0
1273720,2021-10-21,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Papua New Guinea,Bangladesh,bat,Bangladesh,runs,84.0,ICC Men's T20 World Cup,9.0,B,,Shakib Al Hasan,20,6,male,T20,1.1.0
1273721,2021-10-21,2021/22,Al Amarat,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Scotland,Oman,bat,Scotland,wickets,8.0,ICC Men's T20 World Cup,10.0,B,,JH Davey,20,6,male,T20,1.1.0
1273722,2021-10-22,2021/22,Sharjah,Sharjah Cricket Stadium,Ireland,Namibia,Ireland,bat,Namibia,wickets,8.0,ICC Men's T20 World Cup,11.0,A,,D Wiese,20,6,male,T20,1.1.0
1273723,2021-10-22,2021/22,Sharjah,Sharjah Cricket Stadium,Netherlands,Sri Lanka,Sri Lanka,field,Sri Lanka,wickets,8.0,ICC Men's T20 World Cup,12.0,A,,CBRLS Kumara,20,6,male,T20,1.1.0
1273724,2021-10-23,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",South Africa,Australia,Australia,field,Australia,wickets,5.0,ICC Men's T20 World Cup,13.0,1,,JR Hazlewood,20,6,male,T20,1.1.0
1273725,2021-10-23,2021/22,Dubai,Dubai International Cricket Stadium,West Indies,England,England,field,England,wickets,6.0,ICC Men's T20 World Cup,14.0,1,,MM Ali,20,6,male,T20,1.1.0
1273726,2021-10-24,2021/22,Sharjah,Sharjah Cricket Stadium,Bangladesh,Sri Lanka,Sri Lanka,field,Sri Lanka,wickets,5.0,ICC Men's T20 World Cup,15.0,1,,KIC Asalanka,20,6,male,T20,1.1.0
1273727,2021-10-24,2021/22,Dubai,Dubai International Cricket Stadium,India,Pakistan,Pakistan,field,Pakistan,wickets,10.0,ICC Men's T20 World Cup,16.0,2,,Shaheen Shah Afridi,20,6,male,T20,1.1.0
1273729,2021-10-26,2021/22,Dubai,Dubai International Cricket Stadium,West Indies,South Africa,South Africa,field,South Africa,wickets,8.0,ICC Men's T20 World Cup,18.0,1,,A Nortje,20,6,male,T20,1.1.0
1273730,2021-10-26,2021/22,Sharjah,Sharjah Cricket Stadium,New Zealand,Pakistan,Pakistan,field,Pakistan,wickets,5.0,ICC Men's T20 World Cup,19.0,2,,Haris Rauf,20,6,male,T20,1.1.0
1273731,2021-10-27,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,England,Bangladesh,bat,England,wickets,8.0,ICC Men's T20 World Cup,20.0,1,,JJ Roy,20,6,male,T20,1.1.0
1273732,2021-10-27,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Scotland,Namibia,Namibia,field,Namibia,wickets,4.0,ICC Men's T20 World Cup,21.0,2,,R Trumpelmann,20,6,male,T20,1.1.0
1273733,2021-10-28,2021/22,Dubai,Dubai International Cricket Stadium,Sri Lanka,Australia,Australia,field,Australia,wickets,7.0,ICC Men's T20 World Cup,22.0,1,,A Zampa,20,6,male,T20,1.1.0
1273734,2021-10-29,2021/22,Sharjah,Sharjah Cricket Stadium,West Indies,Bangladesh,Bangladesh,field,West Indies,runs,3.0,ICC Men's T20 World Cup,23.0,1,,N Pooran,20,6,male,T20,1.1.0
1273736,2021-10-30,2021/22,Sharjah,Sharjah Cricket Stadium,Sri Lanka,South Africa,South Africa,field,South Africa,wickets,4.0,ICC Men's T20 World Cup,25.0,1,,T Shamsi,20,6,male,T20,1.1.0
1273737,2021-10-30,2021/22,Dubai,Dubai International Cricket Stadium,Australia,England,England,field,England,wickets,8.0,ICC Men's T20 World Cup,26.0,1,,CJ Jordan,20,6,male,T20,1.1.0
1273739,2021-10-31,2021/22,Dubai,Dubai International Cricket Stadium,India,New Zealand,New Zealand,field,New Zealand,wickets,8.0,ICC Men's T20 World Cup,28.0,2,,IS Sodhi,20,6,male,T20,1.1.0
1273740,2021-11-01,2021/22,Sharjah,Sharjah Cricket Stadium,England,Sri Lanka,Sri Lanka,field,England,runs,26.0,ICC Men's T20 World Cup,29.0,1,,JC Buttler,20,6,male,T20,1.1.0
1273741,2021-11-02,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Bangladesh,South Africa,South Africa,field,South Africa,wickets,6.0,ICC Men's T20 World Cup,30.0,1,,K Rabada,20,6,male,T20,1.1.0
1273742,2021-11-02,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Pakistan,Namibia,Pakistan,bat,Pakistan,runs,45.0,ICC Men's T20 World Cup,31.0,2,,Mohammad Rizwan,20,6,male,T20,1.1.0
1273743,2021-11-03,2021/22,Dubai,Dubai International Cricket Stadium,New Zealand,Scotland,Scotland,field,New Zealand,runs,16.0,ICC Men's T20 World Cup,32.0,2,,MJ Guptill,20,6,male,T20,1.1.0
1273745,2021-11-04,2021/22,Dubai,Dubai International Cricket Stadium,Bangladesh,Australia,Australia,field,Australia,wickets,8.0,ICC Men's T20 World Cup,34.0,1,,A Zampa,20,6,male,T20,1.1.0
1273746,2021-11-04,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",Sri Lanka,West Indies,West Indies,field,Sri Lanka,runs,20.0,ICC Men's T20 World Cup,35.0,1,,KIC Asalanka,20,6,male,T20,1.1.0
1273747,2021-11-05,2021/22,Sharjah,Sharjah Cricket Stadium,New Zealand,Namibia,Namibia,field,New Zealand,runs,52.0,ICC Men's T20 World Cup,36.0,2,,JDS Neesham,20,6,male,T20,1.1.0
1273748,2021-11-05,2021/22,Dubai,Dubai International Cricket Stadium,Scotland,India,India,field,India,wickets,8.0,ICC Men's T20 World Cup,37.0,2,,RA Jadeja,20,6,male,T20,1.1.0
1273749,2021-11-06,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",West Indies,Australia,Australia,field,Australia,wickets,8.0,ICC Men's T20 World Cup,38.0,1,,DA Warner,20,6,male,T20,1.1.0
1273750,2021-11-06,2021/22,Sharjah,Sharjah Cricket Stadium,South Africa,England,England,field,South Africa,runs,10.0,ICC Men's T20 World Cup,39.0,1,,HE van der Dussen,20,6,male,T20,1.1.0
1273752,2021-11-07,2021/22,Sharjah,Sharjah Cricket Stadium,Pakistan,Scotland,Pakistan,bat,Pakistan,runs,72.0,ICC Men's T20 World Cup,41.0,2,,Shoaib Malik,20,6,male,T20,1.1.0
1273753,2021-11-08,2021/22,Dubai,Dubai International Cricket Stadium,Namibia,India,India,field,India,wickets,9.0,ICC Men's T20 World Cup,42.0,2,,RA Jadeja,20,6,male,T20,1.1.0
1273754,2021-11-10,2021/22,Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",England,New Zealand,New Zealand,field,New Zealand,wickets,5.0,ICC Men's T20 World Cup,,,Semi Final,DJ Mitchell,20,6,male,T20,1.1.0
1273755,2021-11-11,2021/22,Dubai,Dubai International Cricket Stadium,Pakistan,Australia,Australia,field,Australia,wickets,5.0,ICC Men's T20 World Cup,,,Semi Final,MS Wade,20,6,male,T20,1.1.0
1273756,2021-11-14,2021/22,Dubai,Dubai International Cricket Stadium,New Zealand,Australia,Australia,field,Australia,wickets,8.0,ICC Men's T20 World Cup,,,Final,MR Marsh,20,6,male,T20,1.1.0
1298135,2022-10-16,2022/23,Geelong,"GMHBA Stadium, South Geelong, Victoria",Namibia,Sri Lanka,Sri Lanka,field,Namibia,runs,55.0,ICC Men's T20 World Cup,1.0,A,,JN Frylinck,20,6,male,T20,1.1.0
1298136,2022-10-16,2022/23,Geelong,"GMHBA Stadium, South Geelong, Victoria",United Arab Emirates,Netherlands,United Arab Emirates,bat,Netherlands,wickets,3.0,ICC Men's T20 World Cup,2.0,A,,BFW de Leede,20,6,male,T20,1.1.0
1298137,2022-10-17,2022/23,Hobart,"Bellerive Oval, Hobart",Scotland,West Indies,West Indies,field,Scotland,runs,42.0,ICC Men's T20 World Cup,3.0,B,,HG Munsey,20,6,male,T20,1.1.0
1298138,2022-10-17,2022/23,Hobart,"Bellerive Oval, Hobart",Zimbabwe,Ireland,Ireland,field,Zimbabwe,runs,31.0,ICC Men's T20 World Cup,4.0,B,,Sikandar Raza,20,6,male,T20,1.1.0
1298139,2022-10-18,2022/23,Geelong,"GMHBA Stadium, South Geelong, Victoria",Namibia,Netherlands,Namibia,bat,Netherlands,wickets,5.0,ICC Men's T20 World Cup,5.0,A,,BFW de Leede,20,6,male,T20,1.1.0
1298140,2022-10-18,2022/23,Geelong,"GMHBA Stadium, South Geelong, Victoria",Sri Lanka,United Arab Emirates,United Arab Emirates,field,Sri Lanka,runs,79.0,ICC Men's T20 World Cup,6.0,A,,P Nissanka,20,6,male,T20,1.1.0
1298141,2022-10-19,2022/23,Hobart,"Bellerive Oval, Hobart",Scotland,Ireland,Scotland,bat,Ireland,wickets,6.0,ICC Men's T20 World Cup,7.0,B,,C Campher,20,6,male,T20,1.1.0
1298142,2022-10-19,2022/23,Hobart,"Bellerive Oval, Hobart",West Indies,Zimbabwe,West Indies,bat,West Indies,runs,31.0,ICC Men's T20 World Cup,8.0,B,,AS Joseph,20,6,male,T20,1.1.0
